,loss,acc,val_loss,val_acc
0,0.45208248496055603,0.7785000205039978,0.17224499583244324,0.9319999814033508
1,0.276604562997818,0.887499988079071,0.13123378157615662,0.953000009059906
2,0.19563503563404083,0.9194999933242798,0.15650436282157898,0.9309999942779541
3,0.18750381469726562,0.9235000014305115,0.19995015859603882,0.9259999990463257
4,0.1544310450553894,0.9409999847412109,0.43435800075531006,0.8600000143051147
5,0.13685616850852966,0.9384999871253967,0.08710747212171555,0.9599999785423279
6,0.10994444787502289,0.953499972820282,0.09015366435050964,0.9620000123977661
7,0.10346872359514236,0.9585000276565552,0.11687551438808441,0.9620000123977661
8,0.08718328922986984,0.9670000076293945,0.20822963118553162,0.9419999718666077
9,0.09054196625947952,0.9645000100135803,0.08607194572687149,0.9700000286102295
10,0.08563614636659622,0.965499997138977,0.0845114141702652,0.9729999899864197
11,0.0797908678650856,0.9674999713897705,0.14252719283103943,0.9589999914169312
12,0.06562986224889755,0.9764999747276306,0.14372459053993225,0.9539999961853027
13,0.08448173850774765,0.9764999747276306,0.08196190744638443,0.9729999899864197
14,0.06108730658888817,0.9760000109672546,0.10316523164510727,0.9679999947547913
15,0.05044408515095711,0.984000027179718,0.10521393269300461,0.9639999866485596
16,0.06310959905385971,0.9775000214576721,0.11390866339206696,0.968999981880188
17,0.05765996873378754,0.9794999957084656,0.08096811175346375,0.9750000238418579
18,0.05908728018403053,0.9815000295639038,0.32130298018455505,0.9269999861717224
19,0.046664949506521225,0.9884999990463257,0.11707314848899841,0.9639999866485596
20,0.03812992572784424,0.9854999780654907,0.10456156730651855,0.968999981880188
21,0.06452040374279022,0.9789999723434448,0.0788806825876236,0.972000002861023
22,0.0338580459356308,0.9865000247955322,0.12011435627937317,0.9649999737739563
23,0.0358864925801754,0.9890000224113464,0.13656778633594513,0.9589999914169312
24,0.046188585460186005,0.984000027179718,0.10505259037017822,0.9700000286102295
25,0.04646572843194008,0.9815000295639038,0.10387426614761353,0.9729999899864197
26,0.04075273498892784,0.9894999861717224,0.13187551498413086,0.968999981880188
27,0.04337251931428909,0.9869999885559082,0.11627162247896194,0.9729999899864197
28,0.05454763025045395,0.9835000038146973,0.12115134298801422,0.9700000286102295
29,0.0399671234190464,0.9869999885559082,0.13494884967803955,0.9549999833106995
